70	À chacun son histoire.	Jedes Pferd mit seiner eigenen Geschichte.	Varje häst med sin egen historia.	Elk paard met een eigen verhaal.	All Päerd mat senger eegener Geschicht.
71	Découvrir nos chevaux	Unsere Pferde entdecken	Upptäck våra hästar	Ontdek onze paarden	Eis Päerd entdecken
81	EN DIRECT DU HARAS	DIREKT VOM GESTÜT	DIREKT FRÅN STUTERIET	RECHTSTREEKS VAN DE STOETERIJ	DIREKT VUM GESTITT
82	La vie avec les chevaux.	Das Leben mit Pferden.	Livet med hästar.	Het leven met paarden.	D’Liewe mat Päerd.
83	Au fil des jours.	Tag für Tag.	Som det händer.	Van dag tot dag.	Dag fir Dag.
84	Nouveaux arrivants, chevaux à vendre et instants du quotidien. Retrouvez la vie du haras sur Instagram.	Neuzugänge, Verkaufspferde und die kleinen Momente dazwischen. Folgen Sie unserem Alltag auf Instagram.	Nya hästar, saluhästar och stunderna däremellan. Följ vår vardag på Instagram.	Nieuwe paarden, paarden te koop en de momenten daartussen. Volg ons dagelijks leven op Instagram.	Nei Päerd, Verkafspäerd an déi kleng Momenter dertëschent. Follegt eisem Alldag op Instagram.
86	À la recherche de votre prochain cheval ?	Suchen Sie Ihr nächstes Pferd?	Letar du efter din nästa häst?	Op zoek naar uw volgende paard?	Sicht Dir Äert nächst Päerd?
87	Parlons-en ↗	Lassen Sie uns sprechen ↗	Låt oss prata ↗	Laten we kennismaken ↗	Loosst eis schwätzen ↗
88	Voir @haras_de_prepinson sur Instagram ↗	@haras_de_prepinson auf Instagram ansehen ↗	Se @haras_de_prepinson på Instagram ↗	Bekijk @haras_de_prepinson op Instagram ↗	@haras_de_prepinson op Instagram kucken ↗
89	Si le fil ne s’affiche pas,	Falls der Feed nicht angezeigt wird,	Om flödet inte visas,	Als de feed niet wordt weergegeven,	Wann de Feed net ugewise gëtt,
90	retrouvez-nous sur Instagram ↗	besuchen Sie uns auf Instagram ↗	besök oss på Instagram ↗	bezoek ons op Instagram ↗	besicht eis op Instagram ↗
91	UNE PASSION COMMUNE OUVRE LA CONVERSATION.	EINE GEMEINSAME LEIDENSCHAFT VERBINDET.	EN GEMENSAM PASSION ÖPPNAR FÖR SAMTAL.	EEN GEDEELDE PASSIE BRENGT ONS SAMEN.	ENG GEMEINSAM PASSIOUN BRÉNGT EIS ZESUMMEN.
92	Parlons	Sprechen wir über	Låt oss prata om	Laten we praten over	Schwätze mir iwwer
96	Belgique	Belgien	Belgien	België	Belsch
99	TROUVER LE HARAS ↗	ANFAHRT ZUM GESTÜT ↗	HITTA TILL STUTERIET ↗	VIND DE STOETERIJ ↗	D’GESTITT FANNEN ↗
100	Un film de Prépinson	Ein Film über Prépinson	En film om Prépinson	Een film over Prépinson	E Film iwwer Prépinson
101	Fermer le film	Film schließen	Stäng filmen	Film sluiten	De Film zoumaachen
103	Prépinson · Film par Papilio Productions	Prépinson · Film von Papilio Productions	Prépinson · Film av Papilio Productions	Prépinson · Film door Papilio Productions	Prépinson · Film vu Papilio Productions
104	Galerie photos	Fotogalerie	Bildgalleri	Fotogalerij	Fotogalerie
105	Fermer la galerie	Galerie schließen	Stäng galleriet	Galerij sluiten	D’Galerie zoumaachen
106	Photo précédente	Vorheriges Foto	Föregående bild	Vorige foto	Viregt Bild
108	Photo suivante	Nächstes Foto	Nästa bild	Volgende foto	Nächst Bild
110	Haras de Prépinson — Pension & formation des jeunes chevaux en Belgique	Haras de Prépinson — Pferdepension & Jungpferdeausbildung in Belgien	Haras de Prépinson — Inackordering & unghästutbildning i Belgien	Haras de Prépinson — Paardenpension & opleiding van jonge paarden in België	Haras de Prépinson — Päerdspensioun & Ausbildung vu jonke Päerd an der Belsch
111	Formation professionnelle des jeunes chevaux, saut d’obstacles, dressage et pension au Haras de Prépinson en Belgique. Découvrez notre élevage et les chevaux à vendre sur Instagram.	Professionelle Jungpferdeausbildung, Springreiten, Dressur und Pferdepension im Haras de Prépinson in Belgien. Entdecken Sie unsere Zucht und Verkaufspferde auf Instagram.	Professionell unghästutbildning, hoppning, dressyr och inackordering på Haras de Prépinson i Belgien. Upptäck vår avel och saluhästar på Instagram.	Professionele opleiding van jonge paarden, springen, dressuur en pension op Haras de Prépinson in België. Ontdek onze fokkerij en paarden te koop op Instagram.	Professionell Ausbildung vu jonke Päerd, Sprangreiden, Dressur a Pensioun am Haras de Prépinson an der Belsch. Entdeckt eis Zuucht a Verkafspäerd op Instagram.
112	Prépinson dans les Ardennes belges	Prépinson in den belgischen Ardennen	Prépinson i de belgiska Ardennerna	Prépinson in de Belgische Ardennen	Prépinson an de belschen Ardennen
113	Haras de Prépinson · Belgique	Haras de Prépinson · Belgien	Haras de Prépinson · Belgien	Haras de Prépinson · België	Haras de Prépinson · Belsch
114	Des chevaux d’exception.	Besondere Pferde.	Exceptionella hästar.	Bijzondere paarden.	Aussergewéinlech Päerd.
115	Des débuts réfléchis.	Ein durchdachter Anfang.	En genomtänkt början.	Een doordachte start.	Duerchduechten Ufäng.
116	Des soins professionnels. Une formation patiente. L’espace pour révéler leur potentiel.	Professionelle Betreuung. Geduldige Ausbildung. Raum, um das Potenzial zu entfalten.	Professionell omsorg. Tålmodig träning. Utrymme att utveckla sin potential.	Professionele zorg. Geduldige training. Ruimte om hun potentieel te ontwikkelen.	Professionell Betreiung. Gedëlleg Ausbildung. Plaz, fir hiert Potenzial ze entwéckelen.
117	Chevaux à vendre sur Instagram	Verkaufspferde auf Instagram	Saluhästar på Instagram	Paarden te koop op Instagram	Verkafspäerd op Instagram
118	Ortho, Ardennes belges	Ortho, belgische Ardennen	Ortho, belgiska Ardennerna	Ortho, Belgische Ardennen	Ortho, belsch Ardennen
119	Un peu plus près de la nature	Ein Stück näher an der Natur	Lite närmare naturen	Een stukje dichter bij de natuur	E Stéck méi no bei der Natur
120	Voir le film	Film ansehen	Se filmen	Bekijk de film	De Film kucken
121	Notre univers équestre	Unsere Pferdewelt	Vår hästvärld	Onze paardenwereld	Eis Päerdswelt
122	Chaque cheval.	Jedes Pferd.	Varje häst.	Elk paard.	All Päerd.
123	Toutes les possibilités.	Alle Möglichkeiten.	Alla möjligheter.	Alle mogelijkheden.	All Méiglechkeeten.
124	Dans notre haras en Belgique, tout commence par la compréhension de chaque cheval. Du poulain au cheval de sport, notre approche associe formation professionnelle et soins quotidiens attentifs.	In unserem Gestüt in Belgien beginnt alles mit dem Verständnis für das einzelne Pferd. Vom Fohlen bis zum Sportpferd verbinden wir professionelle Ausbildung mit aufmerksamer täglicher Betreuung.	På vårt stuteri i Belgien börjar allt med förståelsen för varje individ. Från föl till sporthästar förenar vi professionell utbildning med omsorgsfull daglig skötsel.	Op onze stoeterij in België begint alles met begrip voor elk individueel paard. Van veulen tot sportpaard combineren we professionele training met aandachtige dagelijkse verzorging.	Op eisem Gestitt an der Belsch fänkt alles mam Versteesdemech fir all eenzelt Päerd un. Vum Fëlle bis zum Sportpäerd verbannen mir professionell Ausbildung mat opmierksamer deeglecher Betreiung.
125	01 / Pension & soins	01 / Pension & Betreuung	01 / Inackordering & omsorg	01 / Pension & verzorging	01 / Pensioun & Betreiung
126	Un lieu pour s’épanouir.	Ein Ort zum Aufblühen.	En plats att trivas på.	Een plek om te groeien.	Eng Plaz fir sech z’entwéckelen.
127	Une pension dans un cadre paisible, avec une surveillance quotidienne et de l’espace pour chaque étape de la vie.	Pferdepension in ruhiger Umgebung, mit täglicher Betreuung und Platz für jede Lebensphase.	Inackordering i en lugn miljö, med daglig tillsyn och utrymme för varje skede i livet.	Paardenpension in een rustige omgeving, met dagelijks toezicht en ruimte voor elke levensfase.	Päerdspensioun an enger roueger Ëmgéigend, mat deeglecher Kontroll a Plaz fir all Liewensphas.
128	Pension pour jeunes chevaux et chevaux retraités	Pension für junge Pferde und Senioren	Inackordering för unghästar och pensionerade hästar	Pension voor jonge en gepensioneerde paarden	Pensioun fir jonk an eeler Päerd
129	Soins aux poulinières et surveillance des poulinages	Zuchtstutenbetreuung und Überwachung beim Abfohlen	Skötsel av avelsston och fölövervakning	Verzorging van fokmerries en toezicht bij het veulenen	Betreiung vun Zuchtstuten an Iwwerwaachung beim Fëllen
130	Boxes partagés et sorties en prairie	Gruppenboxen und Weidegang	Gruppboxar och utevistelse på bete	Groepsboxen en weidegang	Gruppeboxen a Weidegang
131	Suivi de la maréchalerie et des soins courants	Koordination von Hufpflege und Routineversorgung	Samordning av hovvård och löpande hälsovård	Coördinatie van hoefverzorging en reguliere zorg	Koordinatioun vun Hufpfleeg a reegelméisseger Versuergung
132	Se renseigner sur la pension ↗	Pension anfragen ↗	Fråga om inackordering ↗	Informeer naar pension ↗	Iwwer d’Pensioun nofroen ↗
133	02 / Formation & valorisation	02 / Ausbildung & Entwicklung	02 / Utbildning & utveckling	02 / Training & ontwikkeling	02 / Ausbildung & Entwécklung
134	Le potentiel se construit avec patience.	Potenzial, mit Geduld entwickelt.	Potential som utvecklas med tålamod.	Potentieel, geduldig ontwikkeld.	Potenzial, mat Gedold entwéckelt.
135	Une formation professionnelle des jeunes chevaux, du débourrage au travail en confiance dans la piste.	Professionelle Jungpferdeausbildung, vom Anreiten bis zur sicheren Arbeit in der Reitbahn.	Professionell unghästutbildning, från inridning till tryggt arbete på ridbanan.	Professionele opleiding van jonge paarden, van zadelmak maken tot zelfverzekerd werk in de piste.	Professionell Ausbildung vu jonke Päerd, vum Ureide bis zur sécherer Aarbecht an der Reitbunn.
136	Formation individuelle en saut d’obstacles et en dressage	Individuelle Ausbildung im Springen und in der Dressur	Individuell utbildning i hoppning och dressyr	Individuele training in springen en dressuur	Individuell Ausbildung am Sprangreiden an an der Dressur
137	Travail à temps plein et préparation aux concours	Vollberitt und Turniervorbereitung	Heltidsträning och tävlingsförberedelse	Volledige training en wedstrijdvoorbereiding	Vollzäitausbildung a Virbereedung op Concoursen
138	Des installations équestres professionnelles	Professionelle Reitanlagen	Professionella ridanläggningar	Professionele hippische faciliteiten	Professionell Reitanlagen
139	Cours avec votre propre cheval	Unterricht mit Ihrem eigenen Pferd	Lektioner med din egen häst	Lessen met uw eigen paard	Unterrecht mat Ärem eegene Päerd
140	Parlons de votre cheval ↗	Sprechen wir über Ihr Pferd ↗	Berätta om din häst ↗	Vertel ons over uw paard ↗	Schwätze mir iwwer Äert Päerd ↗
141	Un cheval et sa soigneuse à Prépinson	Ein Pferd und seine Betreuerin in Prépinson	En häst och dess skötare på Prépinson	Een paard met zijn verzorger op Prépinson	E Päerd a seng Betreierin zu Prépinson
142	Découvrir nos installations	Unsere Anlagen entdecken	Upptäck vår anläggning	Ontdek onze faciliteiten	Eis Anlagen entdecken
143	Nés à Prépinson	Gezüchtet in Prépinson	Uppfödda på Prépinson	Gefokt op Prépinson	Zu Prépinson geziicht
144	Quelques-unes de nos histoires.	Einige unserer Geschichten.	Några av våra berättelser.	Enkele van onze verhalen.	E puer vun eise Geschichten.
145	Une sélection de chevaux issus de notre élevage.	Ausgewählte Pferde aus unserer Zucht.	Utvalda hästar ur vår uppfödning.	Geselecteerde paarden uit onze fokkerij.	Ausgewielte Päerd aus eiser Zuucht.
146	Né en 2019 · Haras de Prépinson	Geboren 2019 · Haras de Prépinson	Född 2019 · Haras de Prépinson	Geboren in 2019 · Haras de Prépinson	Gebuer 2019 · Haras de Prépinson
149	Né en 2018 · Haras de Prépinson	Geboren 2018 · Haras de Prépinson	Född 2018 · Haras de Prépinson	Geboren in 2018 · Haras de Prépinson	Gebuer 2018 · Haras de Prépinson
152	Né en 2017 · Haras de Prépinson	Geboren 2017 · Haras de Prépinson	Född 2017 · Haras de Prépinson	Geboren in 2017 · Haras de Prépinson	Gebuer 2017 · Haras de Prépinson
153	Votre prochain partenaire	Ihr nächster Partner	Din nästa partner	Uw volgende partner	Ären nächste Partner
154	Nos derniers chevaux. Sur Instagram.	Unsere aktuellen Pferde. Auf Instagram.	Våra senaste hästar. På Instagram.	Onze nieuwste paarden. Op Instagram.	Eis aktuell Päerd. Op Instagram.
155	Les chevaux actuellement à vendre, les nouveaux arrivants et la vie quotidienne au haras.	Aktuelle Verkaufspferde, Neuzugänge und der Alltag auf dem Gestüt.	Aktuella saluhästar, nya hästar och vardagen på stuteriet.	Actuele paarden te koop, nieuwe paarden en het dagelijks leven op de stoeterij.	Aktuell Verkafspäerd, nei Päerd an den Alldag um Gestitt.
156	Au fil du haras	Rund ums Gestüt	Runt stuteriet	Rond de stoeterij	Ronderëm d’Gestitt
157	En bonne compagnie.	In guter Gesellschaft.	I gott sällskap.	In goed gezelschap.	A gudder Gesellschaft.
159	Un cheval et sa soigneuse dans le manège	Ein Pferd und seine Betreuerin in der Reithalle	En häst och dess skötare i ridhuset	Een paard met zijn verzorger in de binnenpiste	E Päerd a seng Betreierin an der Reithal
161	Un cheval et sa soigneuse aux écuries	Ein Pferd und seine Betreuerin im Stall	En häst och dess skötare i stallet	Een paard met zijn verzorger in de stallen	E Päerd a seng Betreierin am Stall
163	Des soins attentifs au Haras de Prépinson	Aufmerksame Betreuung im Haras de Prépinson	Omsorgsfull skötsel på Haras de Prépinson	Aandachtige verzorging op Haras de Prépinson	Opmierksam Betreiung am Haras de Prépinson
164	Maisons Prépinson — Locations de vacances dans les Ardennes belges	Prépinson Ferienhäuser — Urlaub in den belgischen Ardennen	Prépinson semesterhus — Semester i de belgiska Ardennerna	Prépinson vakantiehuizen — Vakantie in de Belgische Ardennen	Prépinson Vakanzenhaiser — Vakanz an de belschen Ardennen
165	Découvrez Ortho 24 Grange et Ortho 25 Cottage, deux maisons de vacances pour huit personnes à Ortho, en Belgique. Photos et réservations via Casapilot ou Airbnb.	Entdecken Sie Ortho 24 Grange und Ortho 25 Cottage, zwei Ferienhäuser für acht Gäste in Ortho, Belgien. Fotos ansehen und über Casapilot oder Airbnb buchen.	Upptäck Ortho 24 Grange och Ortho 25 Cottage, två semesterhus för åtta gäster i Ortho, Belgien. Se bilder och boka via Casapilot eller Airbnb.	Ontdek Ortho 24 Grange en Ortho 25 Cottage, twee vakantiehuizen voor acht personen in Ortho, België. Bekijk foto’s en boek via Casapilot of Airbnb.	Entdeckt Ortho 24 Grange an Ortho 25 Cottage, zwee Vakanzenhaiser fir aacht Leit zu Ortho an der Belsch. Fotoe kucken a bei Casapilot oder Airbnb buchen.
166	Séjourner à Prépinson	Zu Gast in Prépinson	Bo på Prépinson	Verblijf op Prépinson	Zu Prépinson iwwernuechten
167	Prenez le temps	Zeit nehmen	Gör plats	Maak ruimte	Huelt Iech Zäit
168	de ralentir.	für die Ruhe.	för lugnet.	voor rust.	fir Rou.
169	Deux belles maisons. Votre coin des Ardennes.	Zwei schöne Häuser. Ihr Rückzugsort in den Ardennen.	Två vackra hus. Din egen plats i Ardennerna.	Twee mooie huizen. Uw eigen plek in de Ardennen.	Zwee schéin Haiser. Ären eegene Réckzuchsuert an den Ardennen.
170	Nos deux maisons	Unsere beiden Häuser	Våra två hus	Onze twee huizen	Eis zwee Haiser
171	Se retrouver.	Zusammenkommen.	Samlas.	Samenkomen.	Zesummekommen.
172	Se sentir chez soi.	Sich zu Hause fühlen.	Känn dig hemma.	Voel u thuis.	Sech doheem fillen.
173	Un week-end entre amis. Quelques jours en famille. Choisissez votre escapade en Belgique, entre campagne et balades, à quelques minutes de La Roche-en-Ardenne.	Ein Wochenende mit Freunden. Ein paar Tage mit der Familie. Genießen Sie eine Auszeit auf dem Land in Belgien, nur eine kurze Fahrt von La Roche-en-Ardenne entfernt.	En helg med vänner. Några dagar med familjen. Välj en lantlig vistelse i Belgien, med naturen utanför dörren och La Roche-en-Ardenne en kort biltur bort.	Een weekend met vrienden. Een paar dagen met familie. Kies uw landelijke verblijf in België, met de natuur voor de deur en La Roche-en-Ardenne vlakbij.	E Weekend mat Frënn. E puer Deeg mat der Famill. Genéisst eng Auszäit um Land an der Belsch, just eng kuerz Faart vu La Roche-en-Ardenne ewech.
175	L’espace de se retrouver. Le temps de souffler.	Platz für Gemeinsamkeit. Raum zum Entspannen.	Plats att samlas. Utrymme att koppla av.	Ruimte om samen te komen. Tijd om te ontspannen.	Plaz fir zesummenzekommen. Zäit fir auszespannen.
176	8 personnes	8 Gäste	8 gäster	8 personen	8 Persounen
177	4 chambres	4 Schlafzimmer	4 sovrum	4 slaapkamers	4 Schlofkummeren
178	4 salles de bains	4 Badezimmer	4 badrum	4 badkamers	4 Buedzëmmeren
179	Un refuge spacieux dans les Ardennes, entre pierre et confort contemporain. Retrouvez-vous en famille ou entre amis, profitez de matinées paisibles, de la piscine et du bain à remous extérieur.	Ein großzügiger Rückzugsort in den Ardennen, der Steinmauern mit modernem Komfort verbindet. Genießen Sie mit Familie oder Freunden ruhige Morgen, den Pool und den Whirlpool im Freien.	En rymlig tillflyktsort i Ardennerna där stenväggar möter modern komfort. Samla familj eller vänner och njut av lugna morgnar, poolen och bubbelpoolen utomhus.	Een ruim toevluchtsoord in de Ardennen, waar natuursteen en modern comfort samenkomen. Geniet met familie of vrienden van rustige ochtenden, het zwembad en de buitenjacuzzi.	E grousszügege Réckzuchsuert an den Ardennen, wou Steemaueren op moderne Komfort treffen. Genéisst mat der Famill oder Frënn roueg Moien, d’Schwämm an de Whirlpool dobaussen.
180	Découvrir la maison	Das Haus entdecken	Upptäck huset	Ontdek het huis	D’Haus entdecken
